Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.11016,-0.089434,-0.00055978,0,0,0,0.094595,0.00013307,-8.0888E-06,-1.5527E-05,0.00014557,2.4764E-05,0.00019069,0,0,0,0,0,0,package://fanipulator/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://fanipulator/meshes/base_link.STL,,Base.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_waist,0.00749460466607962,0.0193833742805122,-0.00142908295604846,0,0,0,0.073648017160832,6.79533649959477E-05,-6.43007186079431E-06,2.54253113515054E-07,6.01331618037357E-05,6.73058268215776E-06,5.02824951550106E-05,0,0,0,0,0,0,package://fanipulator/meshes/link_waist.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_waist.STL,,Waist.step-1,Origin_joint_base_waist,Axis19,joint_base_waist,continuous,0.10462,-0.074718,0.031168,1.2426,0.33656,1.1988,base_link,0,1,0,0,0,0,0,,,,,,,,
link_arm01,7.28828564999784E-08,0.0599999721913967,0.0132291412086,0,0,0,0.064057051230774,0.000103753554172636,2.72460845129312E-10,1.08923157262337E-10,9.22848829918709E-06,-7.47048066086611E-11,0.000108623418422058,0,0,0,0,0,0,package://fanipulator/meshes/link_arm01.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_arm01.STL,,Arm 01.step-1,Origin_joint_waist_arm01,Axis9,joint_waist_arm01,revolute,-0.0182,0.04028,-0.01391,1.5708,1.4405,1.5708,link_waist,0,0,1,0,0,0,0,,,,,,,,
link_arm02,0.00696065017005656,-3.16343195396473E-05,0.00571995513508529,0,0,0,0.0470979731232057,8.72264742991636E-06,6.96797055522618E-08,4.03695547935357E-07,5.14011864804492E-05,-1.86701892798509E-10,5.46647133889416E-05,0,0,0,0,0,0,package://fanipulator/meshes/link_arm02.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_arm02.STL,,Arm 02.step-1,Origin_joint_arm01_arm02,Axis10,joint_arm01_arm02,revolute,-0.0064428,0.15415,0.0222,0,0,1.7573,link_arm01,0,0,1,0,0,0,0,,,,,,,,
link_arm03,4.59621324966769E-05,0.0178079248857709,-0.00527093987895778,0,0,0,0.0164703704574985,3.8998112272154E-06,1.15515572844753E-08,-3.9843285770846E-09,2.60896890580714E-06,5.77154659865445E-07,5.00777358212754E-06,0,0,0,0,0,0,package://fanipulator/meshes/link_arm03.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_arm03.STL,,Arm 03.step-1,Origin_joint_arm02_arm03,Axis11,joint_arm02_arm03,continuous,0.0562,0.00092164,0.0079145,0,-0.50397,-1.5708,link_arm02,0,-1,0,0,0,0,0,,,,,,,,
link_wrist,-0.0118424048771172,-0.00255965818179493,-0.0155721370345793,0,0,0,0.0160406157199611,7.25768021095932E-06,-4.04931922521688E-07,-1.7859460511265E-06,9.0081643034319E-06,-1.34077517237122E-06,3.30098488813288E-06,0,0,0,0,0,0,package://fanipulator/meshes/link_wrist.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://fanipulator/meshes/link_wrist.STL,,GRIPPER ASSEMBLED-1/Gripper_Base.step-1,Origin_joint_arm03_wrist,Axis12,joint_arm03_wrist,revolute,-0.036654,0.047435,0.0015,2.6591,-1.5708,-2.9275,link_arm03,-1,0,0,0,0,0,0,,,,,,,,
link_servo,-0.000421588407400978,2.77555756156289E-17,0.0125976635534302,0,0,0,0.00717741212346476,4.65659768608824E-07,2.77932685817817E-22,3.64468103975E-08,7.15747199073412E-07,-4.36751363427999E-22,4.29370258276757E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_servo.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_servo.STL,,GRIPPER ASSEMBLED-1/Servo motor micro 9g.step-1,Origin_joint_wrist_servo_fixed,,joint_wrist_servo_fixed,fixed,0.007,-0.02375,-0.0025,-1.5708,0,0,link_wrist,0,0,0,,,,,,,,,,,,
link_motor_gear,0.00522763135404872,-0.00254163211906777,0.00274999999999997,0,0,0,0.0025818082333029,9.00151478960088E-08,8.33723130309126E-09,8.89942941530489E-22,3.68688286362482E-07,-2.11758236813575E-22,4.51818612303016E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_gear.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_gear.STL,,GRIPPER ASSEMBLED-1/Part 1 gear 2.step-1,Origin_joint_wrist_motor_gear,Axis14,joint_wrist_motor_gear,revolute,0,0.01,0,1.5708,-0.7531,0,link_wrist,0,0,-1,0,0,0,0,,,,,,,,
link_motor_finger,0.0255261424966086,0.0022499970897259,-0.00336704858478218,0,0,0,0.00255464599773171,6.09414708673108E-08,-2.13870657667333E-13,1.5526788471596E-07,8.10461051558438E-07,1.87298236638026E-14,7.58141645116664E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_finger.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_finger.STL,,GRIPPER ASSEMBLED-1/Gripper.step-1,Origin_joint_motor_gear_finger,Axis15,joint_motor_gear_finger,revolute,0.030426,-0.0031233,0.0095,-1.5708,0,1.2261,link_motor_gear,0,-1,0,0,0,0,0,,,,,,,,
link_non_motor_gear,0.0053917110914827,0.000565002451448526,0,0,0,0,0.00265818035071167,9.02347898780716E-08,8.09769450575796E-09,3.40798412371847E-22,3.72028786461282E-07,-3.68095372586097E-23,4.55175095404122E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_gear.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_gear.STL,,GRIPPER ASSEMBLED-1/Part 2 gear 2.step-1,Origin_joint_wrist_non_motor_gear,Axis13,joint_wrist_non_motor_gear,revolute,-0.025,0.00725,-0.0025,1.5708,-0.8747,3.1416,link_wrist,0,0,1,0,0,0,0,,,,,,,,
link_non_motor_finger,0.0255261444106173,0.00224999824611849,-0.0033670495028804,0,0,0,0.00255464579631569,6.0941341681675E-08,-2.49807542755823E-13,1.55267849729155E-07,8.10460904924078E-07,1.59058771746059E-15,7.58141627107247E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_finger.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_finger.STL,,GRIPPER ASSEMBLED-1/Gripper.step-2,Origin_joint_non_motor_gear_finger,Axis16,joint_non_motor_gear_finger,revolute,0.03075,0,-0.00225,-1.5708,0,1.0751,link_non_motor_gear,0,-1,0,0,0,0,0,,,,,,,,
link_motor_support,0.0155,0.00200000000000006,0,0,0,0,0.00079876241318469,3.63250422363009E-09,1.15057268914432E-22,-9.43704834585034E-23,1.04424225659603E-07,-9.92616735063633E-24,1.02921754537799E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_support.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_motor_support.STL,,GRIPPER ASSEMBLED-1/Gripper link.step-1,Origin_joint_wrist_motor_support,Axis18,joint_wrist_motor_support,revolute,-0.007,0.00525,0.0175,0,-0.75398,0,link_wrist,0,1,0,0,0,0,0,,,,,,,,
link_non_motor_support,0.0155,0.00200000000000006,2.77555756156289E-17,0,0,0,0.000798762413184691,3.6325042236301E-09,1.19527598513912E-22,-4.64125871824675E-23,1.04424225659603E-07,0,1.02921754537799E-07,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_support.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://fanipulator/meshes/link_non_motor_support.STL,,GRIPPER ASSEMBLED-1/Gripper link.step-2,Origin_joint_wrist_non_motor_support,Axis17,joint_wrist_non_motor_support,revolute,-0.0365783595746249,0.00525000000000003,0.0415351375358365,0,0.887232723469578,0,link_wrist,0,1,0,0,0,0,0,,,,,,,,
